# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=fm^-4 => code, pFactor=2.612195e-04, eFactor=2.612195e-04
# p (code_units),epsilon (code_units),n,mu,col4,cs2,phase
1.323770e-21,1.858444e-15,9.49724527786643e-12,307.9628993889946,0,0,Hadronic
1.328890e-21,1.862894e-15,9.519989308297421e-12,307.9629094051386,0,0,Hadronic
1.334030e-21,1.867362e-15,9.542821308975797e-12,307.962919460024,0,0,Hadronic
1.339190e-21,1.871848e-15,9.565741620150572e-12,307.9629295538008,0,0,Hadronic
1.344370e-21,1.876350e-15,9.588750583386722e-12,307.96293968661934,0,0,Hadronic
1.349570e-21,1.880870e-15,9.611848541570143e-12,307.9629498586307,0,0,Hadronic
1.354790e-21,1.885407e-15,9.635035838913079e-12,307.96296006998637,0,0,Hadronic
1.360030e-21,1.889962e-15,9.658312820958906e-12,307.9629703208386,0,0,Hadronic
1.365290e-21,1.894535e-15,9.681679834587465e-12,307.96298061134013,0,0,Hadronic
1.370571e-21,1.899125e-15,9.705137228020303e-12,307.96299094164436,0,0,Hadronic
1.375872e-21,1.903733e-15,9.728685350825612e-12,307.96300131190526,0,0,Hadronic
1.381194e-21,1.908359e-15,9.752324553923705e-12,307.96301172227726,0,0,Hadronic
1.386536e-21,1.913003e-15,9.776055189592127e-12,307.9630221729156,0,0,Hadronic
1.391899e-21,1.917664e-15,9.799877611470777e-12,307.96303266397604,0,0,Hadronic
1.397283e-21,1.922344e-15,9.82379217456742e-12,307.96304319561494,0,0,Hadronic
1.402688e-21,1.927042e-15,9.847799235262874e-12,307.96305376798915,0,0,Hadronic
1.408113e-21,1.931758e-15,9.871899151316177e-12,307.9630643812563,0,0,Hadronic
1.413560e-21,1.936492e-15,9.896092281870257e-12,307.96307503557455,0,0,Hadronic
1.419027e-21,1.941245e-15,9.92037898745676e-12,307.9630857311027,0,0,Hadronic
1.424516e-21,1.946016e-15,9.944759630002002e-12,307.9630964680001,0,0,Hadronic
1.430026e-21,1.950805e-15,9.969234572832067e-12,307.96310724642683,0,0,Hadronic
1.435557e-21,1.955613e-15,9.993804180678083e-12,307.9631180665435,0,0,Hadronic
1.441109e-21,1.960440e-15,1.0018468819681983e-11,307.96312892851125,0,0,Hadronic
1.446684e-21,1.965285e-15,1.0043228857401781e-11,307.9631398324922,0,0,Hadronic
1.452279e-21,1.970149e-15,1.006808466281699e-11,307.9631507786486,0,0,Hadronic
1.457896e-21,1.975031e-15,1.0093036606334175e-11,307.9631617671437,0,0,Hadronic
1.463535e-21,1.979933e-15,1.0118085059792604e-11,307.9631727981412,0,0,Hadronic
1.469196e-21,1.984854e-15,1.0143230396469663e-11,307.96318387180565,0,0,Hadronic
1.474879e-21,1.989793e-15,1.0168472991086353e-11,307.96319498830195,0,0,Hadronic
1.480584e-21,1.994752e-15,1.019381321981298e-11,307.96320614779574,0,0,Hadronic
1.486310e-21,1.999730e-15,1.0219251460274703e-11,307.9632173504535,0,0,Hadronic
1.492059e-21,2.004727e-15,1.0244788091557271e-11,307.9632285964419,0,0,Hadronic
1.497830e-21,2.009743e-15,1.0270423494212588e-11,307.96323988592883,0,0,Hadronic
1.503624e-21,2.014779e-15,1.0296158050264252e-11,307.96325121908234,0,0,Hadronic
1.509440e-21,2.019835e-15,1.0321992143213517e-11,307.96326259607144,0,0,Hadronic
1.515278e-21,2.024909e-15,1.034792615804487e-11,307.9632740170657,0,0,Hadronic
1.521139e-21,2.030004e-15,1.0373960481231623e-11,307.9632854822352,0,0,Hadronic
1.527023e-21,2.035118e-15,1.0400095500742002e-11,307.96329699175095,0,0,Hadronic
1.532929e-21,2.040252e-15,1.0426331606044553e-11,307.96330854578434,0,0,Hadronic
1.538858e-21,2.045406e-15,1.0452669188114334e-11,307.96332014450763,0,0,Hadronic
1.544811e-21,2.050580e-15,1.0479108639438375e-11,307.96333178809374,0,0,Hadronic
1.550786e-21,2.055774e-15,1.0505650354021703e-11,307.96334347671603,0,0,Hadronic
