# EoS format: energy density (fm^-4), pressure (fm^-4), number density (fm^-3), chemical potential (MeV), nan, cs2 (speed of sound squared), phase
epsilon,p,n,mu,col4,cs2,phase
7.114491522578866e-12,5.0676531698170635e-18,9.49724527786643e-12,307.9628993889946,0,0,Hadronic
7.1315295519123145e-12,5.087254367830046e-18,9.519989308297421e-12,307.9629094051386,0,0,Hadronic
7.1486334827144225e-12,5.1069313814031085e-18,9.542821308975797e-12,307.962919460024,0,0,Hadronic
7.165803569885805e-12,5.126684503783625e-18,9.565741620150572e-12,307.9629295538008,0,0,Hadronic
7.1830400693130066e-12,5.146514029353224e-18,9.588750583386722e-12,307.96293968661934,0,0,Hadronic
7.200343237872215e-12,5.166420253632066e-18,9.611848541570143e-12,307.9629498586307,0,0,Hadronic
7.2177133334333295e-12,5.186403473283496e-18,9.635035838913079e-12,307.96296006998637,0,0,Hadronic
7.235150614863558e-12,5.206463986118222e-18,9.658312820958906e-12,307.9629703208386,0,0,Hadronic
7.252655342031394e-12,5.226602091098848e-18,9.681679834587465e-12,307.96298061134013,0,0,Hadronic
7.270227775810559e-12,5.2468180883444505e-18,9.705137228020303e-12,307.96299094164436,0,0,Hadronic
7.287868178083696e-12,5.267112279134793e-18,9.728685350825612e-12,307.96300131190526,0,0,Hadronic
7.305576811746471e-12,5.287484965915065e-18,9.752324553923705e-12,307.96301172227726,0,0,Hadronic
7.323353940711412e-12,5.307936452300293e-18,9.776055189592127e-12,307.9630221729156,0,0,Hadronic
7.341199829911733e-12,5.3284670430797385e-18,9.799877611470777e-12,307.96303266397604,0,0,Hadronic
7.359114745305482e-12,5.349077044221674e-18,9.82379217456742e-12,307.96304319561494,0,0,Hadronic
7.377098953879408e-12,5.3697667628778286e-18,9.847799235262874e-12,307.96305376798915,0,0,Hadronic
7.395152723652848e-12,5.390536507387851e-18,9.871899151316177e-12,307.9630643812563,0,0,Hadronic
7.413276323681969e-12,5.411386587284208e-18,9.896092281870257e-12,307.96307503557455,0,0,Hadronic
7.43147002406339e-12,5.432317313296342e-18,9.92037898745676e-12,307.9630857311027,0,0,Hadronic
7.449734095938636e-12,5.453328997355794e-18,9.944759630002002e-12,307.9630964680001,0,0,Hadronic
